name,category,parent_name,growth_form,current_seed,preferred_moisture_level,watering_amount,watering_pace,watering_notes,aliases,reference_url,ai_review,ai_review_reason,niwa_log_fit,household_gardening_relevance,source_quality,review_point,human_decision,human_note,planned_action
ローズマリー,herb,,shrub,true,0.25,light,土の表面が乾いてから（2〜3日後を目安に）,乾燥ぎみを好む。冬は更に乾かしぎみに。地植えは根付き後水やり不要。過湿・蒸れに注意。,マンネンロウ,https://www.hyponex.co.jp/garden_support/garden_support-100/,KEEP,anchor植物。鉢植え定番、水やり判断の代表例,high,high,high,,,,
ラベンダー,herb,,shrub,true,0.21,light,土の表面がしっかり乾いてから,高温多湿に弱い。日本の梅雨・夏場は過湿に特に注意。子分類（イングリッシュ・フレンチ・ラバンジン・レース）で管理差があるため詳しくは子レコードを参照。,,https://www.hyponex.co.jp/plantia/plantia-15070/,KEEP,anchor植物。子分類4種で管理差を表現済み,high,high,high,,,,
イングリッシュラベンダー,herb,ラベンダー,shrub,true,0.20,light,土の表面がしっかりと乾いてから,日本の高温多湿に非常に弱い。梅雨・台風時は雨の当たらない場所に移動推奨。開花中のみ例外的にやや多め。耐寒性は強い。,アングスティフォリア系ラベンダー,https://www.hyponex.co.jp/plantia/plantia-15070/,KEEP,高温多湿に非常に弱く日本での管理難度が高いため支援価値大,high,high,high,,,,
フレンチラベンダー,herb,ラベンダー,shrub,true,0.22,light,鉢: 表面が乾いたらたっぷり（夏は蒸れ防止で控えめ）,ストエカス系。イングリッシュより耐暑性が高く日本の夏でも育てやすいが、耐寒性はやや低い（-5℃程度）。過湿を嫌う点は他ラベンダーと共通。冬は鉢管理で必要に応じ室内へ。,ストエカス系ラベンダー; バタフライラベンダー,https://www.hyponex.co.jp/garden_support/garden_support-114/,KEEP,耐暑性で差別化された実用的な子分類,high,high,high,,,,
ラバンジン,herb,ラベンダー,shrub,true,0.23,light,鉢: 表面が乾いたらたっぷり（夏は控えめ）,イングリッシュとスパイカ（スパイクラベンダー）の交雑種。耐暑性・耐寒性ともにバランスがよく、日本の暖地でも栽培可能。過湿を嫌う点は共通。多肥不要。,ラバンダン; ラバンディン,https://www.kincho-engei.co.jp/cultivation/detail/5013/,KEEP,交雑種として耐暑耐寒バランスが他ラベンダーと異なる,high,high,high,,,,
レースラベンダー,herb,ラベンダー,shrub,true,0.22,light,鉢: 表面が乾いたらたっぷり（長雨は避ける）,ピナータ系。耐暑性は比較的あるが耐寒性が低く（-3℃以下で枯れやすい）冬は室内管理が基本。過湿に弱いため長雨を避けられる場所を選ぶ。,ピナータ系ラベンダー,https://www.hyponex.co.jp/plantia/plantia-8858/,KEEP,耐寒性が低く冬管理が明確に異なる,high,high,high,,,,
タイム,herb,,shrub,true,0.25,light,土が乾いたら（冬は乾いてから1〜2日後）,乾燥を好む。地植えは根付き後ほぼ水やり不要。水やりすぎは黄変・根腐れの原因。冬はやや控えめ。,タチジャコウソウ,https://www.hyponex.co.jp/plantia/plantia-18746/,KEEP,定番ハーブ、乾燥志向で明確な管理差,high,high,high,,,,
オレガノ,herb,,herbaceous,true,0.23,light,土の表面が完全に乾くまで待ってから,乾燥気味にしたほうが上手に育つ。地植えは基本水やり不要。水やりすぎると腐れやすい。,ハナハッカ,https://www.hyponex.co.jp/plantia/plantia-6577/,KEEP,定番、料理用途で認知度高い,high,high,high,,,,
セージ,herb,,shrub,true,0.30,light,鉢土の表面が乾いたらたっぷり,乾燥を好むが、タイム・ローズマリーより若干湿潤を許容。地植えは根付き後水やりほぼ不要。,コモンセージ,https://www.hyponex.co.jp/garden_support/garden_support-218/,KEEP,定番ハーブ,high,high,high,,,,
レモングラス,herb,,herbaceous,true,0.35,light,鉢土の表面が乾いたらたっぷり（地植えは根付き後不要）,根付いた後は比較的乾燥に強い。葉が丸まってきたら水不足のサイン。春の水やりすぎは根腐れの原因。熱帯性植物のため冬は室内管理が基本。,,https://www.kincho-engei.co.jp/cultivation/detail/4120/,KEEP,熱帯性で冬季室内管理という明確な判断ポイントあり,high,high,high,,,,
バジル,herb,,herbaceous,true,0.50,moderate,土の表面が乾いたら,乾燥に弱いため水切れ注意。夏の乾燥期は朝夕の水やりが必要なことも。水のやりすぎは根を傷める。午前中の水やり推奨。1年草。,スイートバジル,https://www.hyponex.co.jp/garden_support/garden_support-186/,KEEP,anchor植物。夏の水切れ失敗が起きやすい代表格,high,high,high,,,,
